Title,Yr,Dir,Link,audio,Number,Sektor,Märkus
Allo Allo S1-S2-S3-S4-S5 15,1982,SERIES,http://www.imdb.com/title/tt0086659/,eng/eng/fin/-,,XBOX,
Police Squad!,1982,SERIES,http://www.imdb.com/title/tt0083466/,eng/,57,PAIS-RUMO,
12 Angry Men,1957,Lumet, S.,http://www.imdb.com/title/tt0050083/,eng,184,KIRV-MAAO,
12 стульев,1971,Gaidai, L.,http://us.imdb.com/Title?0065670,rus/est,,XRET,
12 стульев 2,1977,Zahharov, Mark,http://www.imdb.com/title/tt0075468/,rus/-,163,TINK-YVER,
20 Million Miles to Earth,1957,Juran, Nathan,http://www.imdb.com/title/tt0050084/,eng,129,HERN-KIRU,
2001: A Space Odyssey,1968,Kubrick, S.,http://www.imdb.com/title/tt0062622/,eng,199,KIRV-MAAO,
3.10 to Yuma,1957,Daves, D.,http://www.imdb.com/title/tt0050086/,eng/eng,162,A-DYN,
300 Spartans,1962,Maté, Rudolph ,http://www.imdb.com/title/tt0055719/,eng/eng,26,MAAP-PAIR,
36 Quai des Orfèvres,2004,11,http://us.imdb.com/Title?0390808,fra/est,,XRET,
A Bronx Tale,1993,De Niro, R.,http://www.imdb.com/title/tt0106489/,eng/fin,,XRET,
A Clockwork Orange,1971,Kubrick, S.,http://us.imdb.com/Title?0066921,eng/eng,191,KIRV-MAAO,
A Scanner Darkly,2006,Linklater, R.,http://www.imdb.com/title/tt0405296/,,187,KIRV-MAAO,
A Tanu,1969,Bacso, P.,http://www.imdb.com/title/tt0065067/,hun/eng,21,A-DYN,
A View to a Kill,1985,Glen, J.,http://www.imdb.com/title/tt0090264/,eng/fin,,XRET,
Abre de los ojos,1997,Amenabar, A. ,http://www.imdb.com/title/tt0125659/,,36,A-DYN,
Adios Sabata,,,,,,,
Africa Addio,1966,Jacopetti, G.,http://www.imdb.com/title/tt0060073/,,131,HERN-KIRU,
Aguirre, der Zorn Gottes,1972,Herzog, W. ,http://www.imdb.com/title/tt0068182/,,122,HERN-KIRU,
Akahige Red Beard,1965,Kurosawa, A.,http://www.imdb.com/title/tt0058888/,jpn/eng,,XBOX,
Alatriste,2006,Diaz Yanes,http://www.imdb.com/title/tt0395119/,spa/eng,116,A-DYN,
Alibaba Aur Chalis Chor / Приключения Али-Бабы и сорока разбойников Ali-Baba and 40 Theieves,1980,,http://www.imdb.com/title/tt0079749/,hin/eng,,XRET,http://jupiter.neetud.com/2007/11/ali-baba-seiklused-ja-40-rvlit-1980.html
Alice Doesnt Live Here Anymore,1974,Scorsese, M. ,http://www.imdb.com/title/tt0071115/,eng,155,RUND-TING,
Alien,1979,Scott, R.,http://www.imdb.com/title/tt0078748/,,143,RUND-TING,
Alien vs. Predator - Requiem,2007,Strause, E.,http://www.imdb.com/title/tt0758730/,eng/-,141,RUND-TING,
